code_zone_geo;zone_geographique;annee;code_indicateur;indicateur;code_type_pers;type_de_personnel;code_taille;taille_d_entreprise;secret;non_disponible;etat_des_donnees;valeur
53;Bretagne;2002;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;7096.27
53;Bretagne;2004;pers;Effectifs de R&D;1;Chercheurs;2;De 250 à 500 salariés;non;non;définitif;702.63
53;Bretagne;2008;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;9227.88
53;Bretagne;2010;dird;Dépense intérieure de R&D;;;0;Toutes tailles d'entreprise;non;non;définitif;945.92
53;Bretagne;2011;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;6226.71
53;Bretagne;2012;dird;Dépense intérieure de R&D;;;0;Toutes tailles d'entreprise;non;non;définitif;1046.85
54;Poitou-Charentes;2001;pers;Effectifs de R&D;2;Soutien à la recherche;0;Toutes tailles d'entreprise;non;non;définitif;944.16
54;Poitou-Charentes;2003;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;733.36
54;Poitou-Charentes;2006;pers;Effectifs de R&D;2;Soutien à la recherche;0;Toutes tailles d'entreprise;non;non;définitif;1071.86
54;Poitou-Charentes;2006;pers;Effectifs de R&D;2;Soutien à la recherche;2;De 250 à 500 salariés;non;non;définitif;302.15
54;Poitou-Charentes;2007;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;1759.1
54;Poitou-Charentes;2007;pers;Effectifs de R&D;1;Chercheurs;2;De 250 à 500 salariés;non;non;définitif;38.82
54;Poitou-Charentes;2008;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;199.07
54;Poitou-Charentes;2009;pers;Effectifs de R&D;0;Tous types de personnel;2;De 250 à 500 salariés;non;non;définitif;187.24
54;Poitou-Charentes;2009;pers;Effectifs de R&D;2;Soutien à la recherche;0;Toutes tailles d'entreprise;non;non;définitif;1144.76
54;Poitou-Charentes;2012;pers;Effectifs de R&D;2;Soutien à la recherche;3;De 500 à 1000 salariés;non;non;définitif;107.42
72;Aquitaine;2003;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;2884.2
72;Aquitaine;2010;pers;Effectifs de R&D;0;Tous types de personnel;1;Moins de 250 salariés;non;non;définitif;2274.71
72;Aquitaine;2011;pers;Effectifs de R&D;1;Chercheurs;4;Plus de 1000 salariés;non;non;définitif;2465.7
72;Aquitaine;2012;pers;Effectifs de R&D;0;Tous types de personnel;2;De 250 à 500 salariés;non;non;définitif;527.67
73;Midi-Pyrénées;2005;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;1429.22
73;Midi-Pyrénées;2006;pers;Effectifs de R&D;2;Soutien à la recherche;2;De 250 à 500 salariés;non;non;définitif;382.63
73;Midi-Pyrénées;2009;dird;Dépense intérieure de R&D;;;1;Moins de 250 salariés;non;non;définitif;284.99
73;Midi-Pyrénées;2010;dird;Dépense intérieure de R&D;;;3;De 500 à 1000 salariés;non;non;définitif;163.02
73;Midi-Pyrénées;2011;pers;Effectifs de R&D;2;Soutien à la recherche;2;De 250 à 500 salariés;non;non;définitif;732.89
73;Midi-Pyrénées;2012;pers;Effectifs de R&D;1;Chercheurs;4;Plus de 1000 salariés;non;non;définitif;9142.71
73;Midi-Pyrénées;2013;pers;Effectifs de R&D;0;Tous types de personnel;4;Plus de 1000 salariés;non;non;semi-définitif;12984.77
74;Limousin;2003;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;982.16
74;Limousin;2006;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;229.05
74;Limousin;2006;pers;Effectifs de R&D;2;Soutien à la recherche;1;Moins de 250 salariés;non;non;définitif;367.71
82;Rhône-Alpes;2011;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;31112.29
83;Auvergne;2006;dird;Dépense intérieure de R&D;;;0;Toutes tailles d'entreprise;non;non;définitif;462.41
83;Auvergne;2006;pers;Effectifs de R&D;2;Soutien à la recherche;0;Toutes tailles d'entreprise;non;non;définitif;3146.17
83;Auvergne;2007;pers;Effectifs de R&D;0;Tous types de personnel;4;Plus de 1000 salariés;oui;non;définitif;
83;Auvergne;2008;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;4583.83
83;Auvergne;2008;pers;Effectifs de R&D;2;Soutien à la recherche;1;Moins de 250 salariés;non;non;définitif;715.37
83;Auvergne;2010;dird;Dépense intérieure de R&D;;;1;Moins de 250 salariés;non;non;définitif;87.93
91;Languedoc-Roussillon;2006;pers;Effectifs de R&D;0;Tous types de personnel;1;Moins de 250 salariés;non;non;définitif;1577.38
91;Languedoc-Roussillon;2006;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;oui;non;définitif;
91;Languedoc-Roussillon;2007;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;1937.94
91;Languedoc-Roussillon;2011;dird;Dépense intérieure de R&D;;;2;De 250 à 500 salariés;non;non;définitif;24.65
91;Languedoc-Roussillon;2011;dird;Dépense intérieure de R&D;;;3;De 500 à 1000 salariés;non;non;définitif;27.27
